City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
261,Roza,RU,54.9163,61.4586,-16.06,90,96,13.67,overcast clouds
262,Danielskuil,ZA,-28.1887,23.5395,64.31,35,0,7.27,clear sky
263,Ariquemes,BR,-9.9133,-63.0408,73.08,97,100,2.3,overcast clouds
264,Geraldton,AU,-28.7667,114.6,66.61,77,0,12.66,clear sky
265,Nanyamba,TZ,-10.6833,39.8333,71.26,98,61,2.8,broken clouds
266,Angoram,PG,-4.0625,144.0661,85.66,70,98,1.1,light rain
267,Ust-Nera,RU,64.5667,143.2,-34.46,99,100,3.13,overcast clouds
268,Lagoa,PT,39.05,-27.9833,61.0,89,98,25.97,overcast clouds
269,Port Lincoln,AU,-34.7333,135.8667,76.42,52,40,10.16,scattered clouds
270,Hastings,GB,50.8552,0.5729,50.29,80,20,27.65,few clouds
271,Balkhash,KZ,46.844,74.9804,32.94,96,100,12.39,light snow
272,Iquique,CL,-20.2208,-70.1431,71.64,79,49,5.53,scattered clouds
273,Lillooet,CA,50.6856,-121.942,39.92,97,100,3.02,overcast clouds
274,Fangshan,CN,39.6983,115.9925,34.23,33,47,2.71,scattered clouds
275,Half Moon Bay,US,37.4636,-122.4286,62.51,68,100,31.07,mist
276,Verkhoyansk,RU,67.5447,133.385,-59.57,100,60,1.79,broken clouds
277,Dwarka,IN,22.2394,68.9678,70.92,71,0,11.16,clear sky
278,Esperance,AU,-33.8667,121.9,65.05,59,0,7.25,clear sky
279,Ambon,ID,-3.6954,128.1814,82.54,78,40,5.75,scattered clouds
280,Oistins,BB,13.0667,-59.5333,78.89,89,40,18.41,light intensity shower rain
281,Isangel,VU,-19.55,169.2667,87.91,84,75,6.91,broken clouds
282,Wahiawa,US,21.5028,-158.0236,80.35,61,40,6.91,scattered clouds
283,Abu Samrah,SY,35.3029,37.1841,46.2,77,17,3.11,few clouds
284,Kamina,CD,-8.7386,24.9906,63.28,97,100,3.38,overcast clouds
285,Balaka,MW,-14.9793,34.9558,68.34,98,100,1.68,moderate rain
